source_file,experiment,condition,mesh_N,requested_offset_deg,return_status,strict,anterior_tilt_deg,speed_mps,final_inf_pr,adopted
pred_sprinting_data_24-June-2026__12-41-28___PelvisTD_p0.mat,PelvicTD_standard,PelvisTD_p0,50,0.0,Solve_Succeeded,True,7.4626,11.77604,9.212e-09,
pred_sprinting_data_24-June-2026__13-38-15___PelvisTD_p2.mat,PelvicTD_standard,PelvisTD_p2,50,2.0,Solve_Succeeded,True,5.4626,11.77344,1.022e-08,
pred_sprinting_data_24-June-2026__14-06-26___PelvisTD_p4.mat,PelvicTD_standard,PelvisTD_p4,50,4.0,Solve_Succeeded,True,3.4626,11.76008,1.334e-08,
pred_sprinting_data_24-June-2026__11-58-51___PelvisTD_p6.mat,PelvicTD_standard,PelvisTD_p6,50,6.0,Solve_Succeeded,True,1.4626,11.74478,2.404e-08,
pred_sprinting_data_24-June-2026__15-49-30___PelvisTDwide_m8.mat,PelvicTD_wide,PelvisTDwide_m8,50,-8.0,Infeasible_Problem_Detected,False,9.9156,9.69185,9.681e-02,
pred_sprinting_data_24-June-2026__17-39-57___PelvisTDwide_m8.mat,PelvicTD_wide,PelvisTDwide_m8,50,-8.0,Solve_Succeeded,True,15.4626,11.71561,1.316e-08,
pred_sprinting_data_24-June-2026__15-45-48___PelvisTDwide_m6.mat,PelvicTD_wide,PelvisTDwide_m6,50,-6.0,Infeasible_Problem_Detected,False,9.9156,9.65575,6.191e-02,
pred_sprinting_data_24-June-2026__16-57-06___PelvisTDwide_m6.mat,PelvicTD_wide,PelvisTDwide_m6,50,-6.0,Solve_Succeeded,True,13.4626,11.74201,2.362e-08,
pred_sprinting_data_24-June-2026__15-41-24___PelvisTDwide_m4.mat,PelvicTD_wide,PelvisTDwide_m4,50,-4.0,Infeasible_Problem_Detected,False,9.9156,9.78558,2.700e-02,
pred_sprinting_data_24-June-2026__16-35-10___PelvisTDwide_m4.mat,PelvicTD_wide,PelvisTDwide_m4,50,-4.0,Solve_Succeeded,True,11.4626,11.76099,1.876e-08,
pred_sprinting_data_24-June-2026__18-09-31___PelvisTDwide_m2.mat,PelvicTD_wide,PelvisTDwide_m2,50,-2.0,Solve_Succeeded,True,9.4626,11.77335,4.359e-08,
pred_sprinting_data_24-June-2026__18-32-28___PelvisTDwide_p0.mat,PelvicTD_wide,PelvisTDwide_p0,50,0.0,Solve_Succeeded,True,7.4626,11.77600,1.888e-08,
pred_sprinting_data_24-June-2026__21-57-50___PelvisTDwide_m8.mat,PelvicTD_wide,PelvisTDwide_m8,100,-8.0,Maximum_CpuTime_Exceeded,False,15.9870,11.74666,4.092e-05,
pred_sprinting_data_24-June-2026__23-17-49___PelvisTDwide_m8.mat,PelvicTD_wide,PelvisTDwide_m8,100,-8.0,Solve_Succeeded,True,15.9870,11.74666,7.871e-09,primary
pred_sprinting_data_25-June-2026__00-01-41___PelvisTDwide_m6.mat,PelvicTD_wide,PelvisTDwide_m6,100,-6.0,Solve_Succeeded,True,13.9870,11.76596,1.362e-08,primary
pred_sprinting_data_25-June-2026__01-05-16___PelvisTDwide_m4.mat,PelvicTD_wide,PelvisTDwide_m4,100,-4.0,Solve_Succeeded,True,11.9870,11.79676,5.499e-08,primary
pred_sprinting_data_25-June-2026__02-31-10___PelvisTDwide_m2.mat,PelvicTD_wide,PelvisTDwide_m2,100,-2.0,Solve_Succeeded,True,9.9870,11.79784,9.184e-08,primary
pred_sprinting_data_25-June-2026__03-15-59___PelvisTDwide_p0.mat,PelvicTD_wide,PelvisTDwide_p0,100,0.0,Solve_Succeeded,True,7.9870,11.79239,1.299e-07,primary
pred_sprinting_data_25-June-2026__04-33-19___PelvisTDwide_p2.mat,PelvicTD_wide,PelvisTDwide_p2,100,2.0,Solve_Succeeded,True,5.9870,11.78729,5.738e-08,primary
pred_sprinting_data_25-June-2026__05-43-11___PelvisTDwide_p4.mat,PelvicTD_wide,PelvisTDwide_p4,100,4.0,Solve_Succeeded,True,3.9870,11.76106,2.280e-08,primary
pred_sprinting_data_25-June-2026__07-24-05___PelvisTDwide_p6.mat,PelvicTD_wide,PelvisTDwide_p6,100,6.0,Solve_Succeeded,True,1.9870,11.78850,6.543e-09,primary
pred_sprinting_data_05-June-2026__11-00-52___PelvisTilt_m10.mat,PelvicTilt,PelvisTilt_m10,50,-10.0,Solve_Succeeded,True,8.6564,11.77519,9.569e-08,
pred_sprinting_data_05-June-2026__14-50-15___PelvisTilt_m07.mat,PelvicTilt,PelvisTilt_m07,50,-7.0,Solved_To_Acceptable_Level,False,7.5870,11.77545,2.887e-05,
